sort_order,type,heading,items
1,paragraph,,"I began my journey in zoology, driven by a curiosity to understand how species interact within ecosystems. Today, I work as a Data Ecologist, applying environmental science, spatial modelling, and emerging technologies to explore how biodiversity responds to changing landscapes."
2,paragraph,,"My work focuses on inter- and intra-species interactions, ecosystem dependencies, and how these relationships shift under pressures like climate change and human disturbance. I use data-driven approaches such as species distribution models, occupancy analysis, and trait-based ecology to translate complex ecological patterns into insights that support conservation decisions."
3,paragraph,,"I am particularly interested in bridging the gap between research and real-world application. Through reproducible workflows, open science platforms, and tools like EcoCommons, I aim to make ecological modelling more accessible, scalable, and impactful for practitioners, researchers, and communities."
4,paragraph,,"Alongside my technical work, I am passionate about science communication and collaboration, ensuring that advanced ecological methods can be understood and applied beyond academia."
5,paragraph,,"Outside of work, I spend time exploring nature through photography, writing music inspired by the environment, hiking, and creating pollinator-friendly spaces, staying closely connected to the systems I study."
10,card,Background,MSc Environmental Protection and Climate Change|BSc Zoology
20,card,What Drives Me,Understanding ecological interactions at multiple scales|Applying technology to biodiversity conservation|Building reproducible ecological and environmental workflows|Connecting science to solutions and community impact
